time_sec,opening_PV006,mflow_pump_out,T_pump_in,T_heater_out,mflow_GHX_bypass,qghx_kW
370,1,0.442142958,411.3156533,538.2076085,0.36418654,54.54552639
371,1,0.440421896,411.3098263,538.2590654,0.362897388,55.01727963
372,1,0.438548835,411.3058162,538.2986832,0.361609041,55.49012735
373,1,0.43344766,411.309493,538.3424269,0.360321504,55.96406352
374,1,0.430550894,411.3132536,538.3939156,0.359034783,56.43908215
375,1,0.427083854,411.308362,538.4450736,0.357748882,56.9151772
376,1,0.424524811,411.3182295,538.5063219,0.356463809,57.39234268
377,1,0.420541345,411.3163816,538.5456539,0.355179569,57.87057257
378,1,0.41773856,411.3150656,538.5845309,0.353896167,58.34986085
379,1,0.415336752,411.3131052,538.6403893,0.352613609,58.8302015
380,1,0.408755458,411.3140875,538.7004499,0.3513319,59.31158853
381,1,0.404428292,411.3229018,538.7603333,0.350051047,59.79401591
382,1,0.389772486,411.3199628,538.8105584,0.348771055,60.27747763
383,1,0.383188215,411.3213998,538.8627554,0.34749193,60.76196767
384,1,0.379257903,411.3243732,538.919269,0.346213677,61.24748003
385,1,0.367118634,411.3312376,538.9786578,0.344936302,61.73400869
386,1,0.363122094,411.3170239,539.0319298,0.343659811,62.22154763
387,1,0.347863537,411.318939,539.0931582,0.342384209,62.71009085
388,1,0.33857586,411.3240076,539.1532942,0.341109502,63.19963233
389,1,0.332639931,411.3230394,539.214503,0.339835696,63.69016605
390,1,0.330641312,411.3328542,539.2713959,0.338562796,64.18168601
391,1,0.322983918,411.3273541,539.330149,0.337290808,64.67418618
392,1,0.320948492,411.3267009,539.3822405,0.336019738,65.16766056
393,1,0.31846961,411.314081,539.4350808,0.334749592,65.66210313
394,1,0.312359795,411.3225591,539.4946802,0.333480374,66.15750788
395,1,0.307464248,411.3185284,539.5547743,0.332212091,66.6538688
396,1,0.306199725,411.3161112,539.6054579,0.330944749,67.15117987
397,1,0.300451689,411.3268666,539.6795473,0.329678352,67.64943508
398,1,0.298947783,411.316474,539.7380342,0.328412907,68.14862841
399,1,0.299550303,411.314865,539.802142,0.32714842,68.64875385
